 "'AS-IS'" 1 
 "----" 1 
 "--Larry" 1 
 "--at" 1 
 "--er--that" 1 
 "--rose" 1 
 "--she" 1 
 "--the" 1 
 "crashing" 3 (L 976, off 32) (L 3141, off 21) (L 5740, off 51) 
 "created" 3 (L 8506, off 10) (L 9246, off 42) (L 9323, off 38) 
 "creating" 3 (L 9051, off 49) (L 9066, off 0) (L 9173, off 23) 
 "crept" 3 (L 277, off 6) (L 6286, off 36) (L 8202, off 59) 
 "crime" 3 (L 4040, off 47) (L 6069, off 36) (L 6306, off 43) 
 "curiosity" 3 (L 5651, off 19) (L 6258, off 7) (L 6695, off 8) 
 "current" 3 (L 7621, off 20) (L 8172, off 51) (L 9308, off 49) 
 "cutting" 3 (L 3007, off 49) (L 3019, off 20) (L 5004, off 19) 
 "damp" 3 (L 7724, off 19) (L 8104, off 25) (L 8538, off 51) 
 "dandy" 3 (L 2690, off 35) (L 3086, off 5) (L 7538, off 31) 
 "daytime" 3 (L 3514, off 57) (L 5523, off 0) (L 6299, off 22) 
 "defective" 3 (L 9178, off 25) (L 9202, off 4) (L 9206, off 8) 
 "department" 3 (L 1051, off 0) (L 1610, off 59) (L 1620, off 60) 
 "derivative" 3 (L 9000, off 20) (L 9051, off 58) (L 9066, off 9) 
 "described" 3 (L 3855, off 0) (L 8080, off 35) (L 9183, off 26) 
 "deserve" 3 (L 4083, off 12) (L 5614, off 6) (L 6178, off 15) 
 "despair" 3 (L 3282, off 43) (L 4670, off 14) (L 6781, off 3) 
 "destroy" 3 (L 2027, off 0) (L 9028, off 64) (L 9150, off 5) 
 "developments" 3 (L 1115, off 52) (L 3844, off 0) (L 7611, off 12) 
 "difficulty" 3 (L 4472, off 58) (L 6635, off 21) (L 8580, off 15) 
 "digging" 3 (L 2828, off 25) (L 6287, off 24) (L 6409, off 16) 
 "dim" 3 (L 1325, off 0) (L 3235, off 13) (L 6431, off 18) 
 "dinner" 3 (L 900, off 59) (L 4449, off 22) (L 7255, off 33) 
 "directed" 3 (L 653, off 56) (L 658, off 58) (L 1355, off 29) 
 "disappointment" 3 (L 883, off 54) (L 3226, off 48) (L 8702, off 28) 
 "dismissed" 3 (L 2420, off 44) (L 3646, off 15) (L 6390, off 16) 
 "dispatches" 3 (L 7759, off 50) (L 7761, off 24) (L 8402, off 0) 
 "dizzy" 3 (L 1336, off 35) (L 2617, off 32) (L 2666, off 36) 
 "doorway" 3 (L 981, off 0) (L 2500, off 11) (L 4939, off 31) 
 "dry" 3 (L 2790, off 49) (L 4122, off 4) (L 7035, off 60) 
 "eagerly" 3 (L 3852, off 25) (L 5506, off 32) (L 7522, off 37) 
 "education" 3 (L 1936, off 25) (L 1938, off 24) (L 2178, off 51) 
 "effect" 3 (L 4724, off 15) (L 6802, off 44) (L 6930, off 0) 
 "eight" 3 (L 227, off 65) (L 1406, off 23) (L 1532, off 35) 
 "emergency" 3 (L 7138, off 30) (L 7161, off 36) (L 7416, off 46) 
 "ended" 3 (L 1562, off 14) (L 3397, off 22) (L 6720, off 37) 
 "entity" 3 (L 9033, off 0) (L 9201, off 41) (L 9203, off 64) 
 "equipment" 3 (L 9180, off 5) (L 9286, off 9) (L 9286, off 38) 
 "escaping" 3 (L 4009, off 25) (L 4542, off 5) (L 4651, off 7) 
 "event" 3 (L 3019, off 56) (L 5640, off 20) (L 5648, off 42) 
 "everybody" 3 (L 195, off 0) (L 200, off 11) (L 216, off 21) 
 "evident" 3 (L 2591, off 0) (L 5521, off 12) (L 5918, off 23) 
 "examination" 3 (L 3634, off 0) (L 4260, off 32) (L 4568, off 0) 
 "examined" 3 (L 3234, off 44) (L 4391, off 63) (L 4482, off 16) 
 "explosive" 3 (L 7333, off 0) (L 7700, off 58) (L 7707, off 9) 
 "faces" 3 (L 2324, off 9) (L 2612, off 43) (L 8751, off 11) 
 "facts" 3 (L 1110, off 33) (L 2339, off 64) (L 2354, off 20) 
 "fail" 3 (L 3228, off 12) (L 3228, off 52) (L 3985, off 43) 
 "fairy" 3 (L 1439, off 22) (L 1463, off 0) (L 3423, off 18) 
 "families" 3 (L 251, off 10) (L 660, off 25) (L 8160, off 4) 
 "fashion" 3 (L 5845, off 46) (L 6010, off 0) (L 8235, off 58) 
 "fastened" 3 (L 3237, off 33) (L 3990, off 38) (L 4409, off 6) 
 "fat" 3 (L 943, off 55) (L 4885, off 35) (L 5981, off 26) 
 "fearing" 3 (L 1715, off 46) (L 2711, off 0) (L 4918, off 39) 
 "figure" 3 (L 288, off 23) (L 4526, off 50) (L 4916, off 29) 
 "file" 3 (L 7942, off 10) (L 8978, off 11) (L 9017, off 42) 
 "finely" 3 (L 2904, off 34) (L 8594, off 15) (L 8681, off 7) 
 "flags" 3 (L 7331, off 36) (L 7337, off 19) (L 7349, off 30) 
 "fleeing" 3 (L 2229, off 4) (L 2279, off 45) (L 7863, off 0) 
 "fly" 3 (L 2394, off 20) (L 2531, off 8) (L 7708, off 7) 
 "folks" 3 (L 546, off 55) (L 2090, off 31) (L 7095, off 29) 
 "gasolene" 3 (L 7417, off 0) (L 8375, off 58) (L 8436, off 17) 
 "gentlemen" 3 (L 2916, off 12) (L 3152, off 11) (L 4578, off 32) 
 "gets" 3 (L 1077, off 34) (L 6575, off 56) (L 7296, off 10) 
 "glanced" 3 (L 1765, off 32) (L 2000, off 6) (L 4176, off 0) 
 "glass" 3 (L 933, off 52) (L 4280, off 29) (L 4457, off 20) 
 "glimpse" 3 (L 2484, off 28) (L 4163, off 48) (L 4942, off 47) 
 "golden" 3 (L 5028, off 0) (L 5625, off 12) (L 5738, off 0) 
 "good-bye" 3 (L 6886, off 13) (L 7001, off 43) (L 7013, off 0) 
 "good-natured" 3 (L 1475, off 0) (L 2043, off 52) (L 6654, off 56) 
 "grab" 3 (L 1600, off 60) (L 2233, off 19) (L 3907, off 19) 
 "grip" 3 (L 2578, off 9) (L 8467, off 63) (L 8514, off 45) 
 "gritted" 3 (L 2596, off 0) (L 6879, off 6) (L 8260, off 51) 
 "group" 3 (L 2939, off 35) (L 7263, off 39) (L 9163, off 19) 
 "growing" 3 (L 3568, off 19) (L 4527, off 0) (L 7475, off 50) 
 "gully" 3 (L 7333, off 50) (L 7368, off 45) (L 7697, off 27) 
 "half-dollars" 3 (L 5585, off 4) (L 5597, off 23) (L 5800, off 0) 
 "halfway" 3 (L 3556, off 10) (L 4881, off 8) (L 5109, off 19) 
 "hallway" 3 (L 4027, off 37) (L 4771, off 53) (L 5716, off 9) 
 "handkerchief" 3 (L 6295, off 55) (L 6328, off 39) (L 6344, off 13) 
 "happenings" 3 (L 87, off 36) (L 2788, off 34) (L 3852, off 10) 
 "happens" 3 (L 2976, off 41) (L 3813, off 13) (L 6790, off 31) 
 "happy" 3 (L 443, off 38) (L 453, off 61) (L 8704, off 12) 
 "hasn" 3 (L 4293, off 9) (L 7399, off 23) (L 8590, off 49) 
 "hasty" 3 (L 1802, off 56) (L 4943, off 12) (L 8081, off 6) 
 "headed" 3 (L 8214, off 21) (L 8377, off 43) (L 8395, off 55) 
 "hen" 3 (L 960, off 43) (L 961, off 62) (L 1107, off 38) 
 "hesitation" 3 (L 1016, off 33) (L 2376, off 55) (L 5655, off 24) 
 "hid" 3 (L 3179, off 42) (L 6333, off 64) (L 6348, off 30) 
 "higher" 3 (L 286, off 21) (L 3639, off 30) (L 7605, off 9) 
 "highly" 3 (L 433, off 21) (L 5267, off 48) (L 6675, off 11) 
 "hinges" 3 (L 3236, off 15) (L 3241, off 4) (L 3252, off 55) 
 "hire" 3 (L 3481, off 10) (L 7386, off 9) (L 7401, off 42) 
 "holiday" 3 (L 2769, off 38) (L 2773, off 53) (L 5819, off 35) 
 "hoped" 3 (L 6821, off 51) (L 6913, off 9) (L 7334, off 0) 
 "hunt" 3 (L 783, off 48) (L 819, off 0) (L 4349, off 56) 
 "hurts" 3 (L 1710, off 9) (L 2634, off 13) (L 3654, off 31) 
 "imagined" 3 (L 2185, off 9) (L 3941, off 33) (L 7718, off 47) 
 "inches" 3 (L 4502, off 14) (L 7292, off 28) (L 7605, off 52) 
 "indicated" 3 (L 554, off 6) (L 968, off 57) (L 3305, off 50) 
 "inform" 3 (L 426, off 33) (L 2711, off 20) (L 5090, off 12) 
 "injured" 3 (L 1204, off 0) (L 3802, off 60) (L 3837, off 46) 
 "inner" 3 (L 3072, off 25) (L 5680, off 64) (L 6653, off 50) 
 "insisted" 3 (L 768, off 12) (L 4668, off 3) (L 5406, off 48) 
 "instrument" 3 (L 1168, off 57) (L 3331, off 57) (L 7096, off 0) 
 "interesting" 3 (L 85, off 52) (L 3791, off 38) (L 3814, off 20) 
 "inundated" 3 (L 7953, off 0) (L 7968, off 58) (L 8171, off 0) 
 "itself" 3 (L 4473, off 10) (L 7521, off 25) (L 7702, off 46) 
 "jab" 3 (L 5785, off 16) (L 5793, off 23) (L 5818, off 36) 
 "joked" 3 (L 2807, off 61) (L 6854, off 65) (L 8726, off 57) 
 "joking" 3 (L 1528, off 4) (L 5119, off 50) (L 7005, off 58) 
 "joy" 3 (L 4676, off 22) (L 4680, off 58) (L 6797, off 46) 
 "kinds" 3 (L 1642, off 36) (L 2103, off 29) (L 6207, off 42) 
 "knowing" 3 (L 361, off 43) (L 702, off 52) (L 6742, off 41) 
 "laid" 3 (L 944, off 59) (L 2460, off 7) (L 2856, off 32) 
 "language" 3 (L 2343, off 16) (L 3631, off 8) (L 8065, off 23) 
 "larger" 3 (L 2190, off 43) (L 5008, off 26) (L 6984, off 46) 
 "largest" 3 (L 3041, off 0) (L 5402, off 32) (L 6189, off 52) 
 "leading" 3 (L 3191, off 44) (L 6437, off 62) (L 7147, off 12) 
 "leap" 3 (L 4241, off 41) (L 4506, off 59) (L 5204, off 27) 
 "learned" 3 (L 3507, off 6) (L 3627, off 0) (L 7711, off 20) 
 "ledge" 3 (L 4485, off 7) (L 4491, off 22) (L 4499, off 54) 
 "letters" 3 (L 1338, off 46) (L 2106, off 38) (L 8709, off 0) 
 "level" 3 (L 2941, off 55) (L 3029, off 48) (L 3100, off 61) 
 "limitation" 3 (L 9215, off 31) (L 9216, off 21) (L 9218, off 46) 
 "limited" 3 (L 915, off 15) (L 9176, off 28) (L 9209, off 23) 
 "links" 3 (L 9073, off 44) (L 9110, off 7) (L 9269, off 35) 
 "lips" 3 (L 3038, off 62) (L 3925, off 19) (L 4091, off 51) 
 "living" 3 (L 4966, off 65) (L 7503, off 51) (L 8160, off 18) 
 "location" 3 (L 1109, off 10) (L 7234, off 14) (L 7258, off 48) 
 "lonesome" 3 (L 3203, off 47) (L 6330, off 39) (L 6393, off 56) 
 "lookout" 3 (L 3864, off 62) (L 5713, off 26) (L 6071, off 0) 
 "luck" 3 (L 862, off 4) (L 1256, off 4) (L 1377, off 21) 
 "match" 3 (L 4564, off 30) (L 7720, off 44) (L 7722, off 39) 
 "members" 3 (L 2491, off 10) (L 3100, off 12) (L 6170, off 0) 
 "merely" 3 (L 4189, off 13) (L 5897, off 61) (L 8217, off 23) 
 "mildly" 3 (L 4529, off 36) (L 4556, off 29) (L 6502, off 36) 
 "miss" 3 (L 1020, off 16) (L 7180, off 52) (L 8587, off 26) 
 "moments" 3 (L 3326, off 9) (L 3673, off 57) (L 4768, off 7) 
 "mud" 3 (L 3365, off 47) (L 7374, off 12) (L 8485, off 61) 
 "mustn" 3 (L 4495, off 3) (L 7463, off 0) (L 8132, off 4) 
 "mysterious" 3 (L 6294, off 30) (L 8806, off 24) (L 8878, off 21) 
 "mystery" 3 (L 1351, off 59) (L 5038, off 46) (L 5950, off 0) 
 "near-by" 3 (L 1038, off 44) (L 3213, off 44) (L 5455, off 35) 
 "nearest" 3 (L 640, off 54) (L 7181, off 33) (L 7414, off 35) 
 "neighbor" 3 (L 303, off 8) (L 1271, off 62) (L 7214, off 54) 
 "neighborhood" 3 (L 4871, off 7) (L 5153, off 15) (L 5959, off 20) 
 "nerved" 3 (L 2620, off 20) (L 3121, off 6) (L 5677, off 33) 
 "noted" 3 (L 2340, off 5) (L 2873, off 3) (L 5321, off 33) 
 "numerous" 3 (L 2615, off 10) (L 5585, off 33) (L 9267, off 11) 
 "objects" 3 (L 5681, off 52) (L 6019, off 7) (L 8224, off 0) 
 "observe" 3 (L 5056, off 28) (L 5737, off 22) (L 6330, off 10) 
 "observed" 3 (L 5072, off 54) (L 6092, off 16) (L 7731, off 27) 
 "obtain" 3 (L 9032, off 33) (L 9092, off 17) (L 9164, off 34) 
 "occasionally" 3 (L 2529, off 14) (L 4760, off 44) (L 8222, off 39) 
 "occupants" 3 (L 3802, off 50) (L 8289, off 17) (L 8303, off 58) 
 "oil" 3 (L 1205, off 22) (L 1306, off 60) (L 8037, off 31) 
 "operations" 3 (L 6609, off 37) (L 6690, off 33) (L 6696, off 6) 
 "opportunity" 3 (L 3160, off 27) (L 3459, off 35) (L 9204, off 52) 
 "otherwise" 3 (L 3813, off 22) (L 7405, off 0) (L 8225, off 0) 
 "pace" 3 (L 4937, off 52) (L 4951, off 41) (L 8179, off 11) 
 "passengers" 3 (L 2829, off 12) (L 5190, off 0) (L 7066, off 56) 
 "paused" 3 (L 2203, off 20) (L 4826, off 6) (L 6722, off 3) 
 "pawnbroker" 3 (L 5461, off 38) (L 5490, off 61) (L 5527, off 23) 
 "payments" 3 (L 9138, off 61) (L 9141, off 23) (L 9310, off 30) 
 "peanut" 3 (L 2245, off 56) (L 2350, off 30) (L 2392, off 62) 
 "pencil" 3 (L 1636, off 46) (L 7612, off 61) (L 8533, off 28) 
 "perform" 3 (L 6595, off 0) (L 6609, off 16) (L 9107, off 30) 
 "performing" 3 (L 9051, off 23) (L 9065, off 41) (L 9126, off 0) 
 "photograph" 3 (L 6607, off 36) (L 6633, off 43) (L 6657, off 7) 
 "piano" 3 (L 1013, off 59) (L 1035, off 16) (L 1204, off 8) 
 "picked" 3 (L 1899, off 18) (L 4026, off 10) (L 7240, off 27) 
 "pneumatic" 3 (L 1598, off 39) (L 1701, off 47) (L 3685, off 32) 
 "porch" 3 (L 5985, off 57) (L 6087, off 7) (L 6094, off 38) 
 "portal" 3 (L 2323, off 63) (L 4826, off 39) (L 5760, off 9) 
 "portion" 3 (L 2969, off 47) (L 5004, off 34) (L 8662, off 18) 
 "possession" 3 (L 287, off 24) (L 2354, off 33) (L 9029, off 60) 
 "possessions" 3 (L 1040, off 0) (L 7498, off 18) (L 7860, off 18) 
 "pour" 3 (L 5034, off 14) (L 5539, off 49) (L 5801, off 43) 
 "pressed" 3 (L 3275, off 3) (L 3284, off 24) (L 4841, off 61) 
 "pride" 3 (L 1321, off 49) (L 1623, off 66) (L 1916, off 29) 
 "print" 3 (L 1445, off 26) (L 5850, off 21) (L 8989, off 38) 
 "prisoners" 3 (L 3532, off 0) (L 5810, off 53) (L 5861, off 41) 
 "private" 3 (L 3794, off 19) (L 5595, off 34) (L 6009, off 26) 
 "proceeded" 3 (L 1770, off 44) (L 3075, off 6) (L 6112, off 25) 
 "prominently" 3 (L 5605, off 7) (L 9074, off 61) (L 9109, off 0) 
 "proper" 3 (L 3319, off 0) (L 3507, off 37) (L 6378, off 63) 
 "prospect" 3 (L 475, off 43) (L 1293, off 54) (L 3597, off 17) 
 "prostrate" 3 (L 2561, off 35) (L 2646, off 22) (L 5835, off 25) 
 "protect" 3 (L 4382, off 45) (L 8995, off 0) (L 9013, off 3) 
 "puff" 3 (L 1479, off 44) (L 7720, off 60) (L 7723, off 59) 
 "punch" 3 (L 483, off 6) (L 1501, off 21) (L 1730, off 39) 
 "pushed" 3 (L 3008, off 46) (L 3279, off 14) (L 3289, off 30) 
 "raging" 3 (L 7048, off 49) (L 7150, off 59) (L 7902, off 51) 
 "raining" 3 (L 7014, off 19) (L 7487, off 7) (L 8100, off 54) 
 "rapid" 3 (L 1336, off 48) (L 8059, off 13) (L 8179, off 5) 
 "reasoned" 3 (L 1327, off 16) (L 6307, off 0) (L 6401, off 40) 
 "recalled" 3 (L 4973, off 63) (L 6351, off 61) (L 6353, off 26) 
 "receipt" 3 (L 354, off 48) (L 9147, off 53) (L 9157, off 8) 
 "receive" 3 (L 8997, off 34) (L 9198, off 0) (L 9205, off 0) 
 "receiver" 3 (L 1156, off 23) (L 1168, off 41) (L 3348, off 12) 
 "recently" 3 (L 2030, off 4) (L 3102, off 29) (L 6345, off 42) 
 "recognized" 3 (L 1187, off 27) (L 2557, off 46) (L 5012, off 41) 
 "recover" 3 (L 2554, off 63) (L 5950, off 12) (L 6050, off 52) 
 "regarding" 3 (L 2503, off 12) (L 3891, off 27) (L 3950, off 32) 
 "registered" 3 (L 7123, off 5) (L 8996, off 15) (L 9035, off 31) 
 "rejoicing" 3 (L 1192, off 55) (L 1955, off 15) (L 8706, off 0) 
 "rejoined" 3 (L 1124, off 28) (L 4216, off 33) (L 4229, off 35) 
 "relieve" 3 (L 7160, off 12) (L 7274, off 4) (L 7559, off 29) 
 "replacement" 3 (L 9155, off 32) (L 9202, off 42) (L 9209, off 40) 
 "required" 3 (L 853, off 47) (L 8223, off 19) (L 9140, off 29) 
 "residence" 3 (L 2339, off 37) (L 6009, off 34) (L 7907, off 37) 
 "responded" 3 (L 2822, off 13) (L 5945, off 13) (L 6100, off 28) 
 "responsible" 3 (L 1306, off 29) (L 4743, off 4) (L 7050, off 14) 
 "rid" 3 (L 3989, off 51) (L 4072, off 55) (L 5569, off 48) 
 "ride" 3 (L 654, off 20) (L 7395, off 61) (L 7403, off 11) 
 "rightly" 3 (L 2483, off 31) (L 4015, off 34) (L 7053, off 10) 
 "rivalries" 3 (L 8892, off 20) (L 8900, off 48) (L 8910, off 48) 
 "road" 3 (L 2845, off 47) (L 3890, off 9) (L 4954, off 0) 
 "roads" 3 (L 4015, off 17) (L 7398, off 63) (L 7757, off 56) 
 "roughly" 3 (L 2208, off 11) (L 4058, off 41) (L 4772, off 53) 
 "rule" 3 (L 7759, off 23) (L 8523, off 33) (L 8547, off 29) 
 "satisfied" 3 (L 1232, off 60) (L 4336, off 37) (L 4734, off 0) 
 "scarce" 3 (L 960, off 33) (L 961, off 26) (L 7913, off 8) 
 "seeming" 3 (L 1629, off 55) (L 1652, off 48) (L 5011, off 27) 
 "seems" 3 (L 3084, off 0) (L 3266, off 58) (L 5416, off 6) 
 "series" 3 (L 91, off 48) (L 5763, off 33) (L 8766, off 24) 
 "seventeen" 3 (L 259, off 9) (L 261, off 50) (L 1140, off 48) 
 "shared" 3 (L 725, off 13) (L 3693, off 50) (L 9318, off 62) 
 "sharply" 3 (L 913, off 60) (L 1705, off 54) (L 6030, off 52) 
 "shining" 3 (L 1071, off 37) (L 5572, off 12) (L 5681, off 44) 
 "shorter" 3 (L 3563, off 32) (L 3997, off 29) (L 4097, off 39) 
 "shouldn" 3 (L 5228, off 15) (L 8456, off 3) (L 8724, off 3) 
 "sidewalk" 3 (L 1153, off 53) (L 3526, off 22) (L 4027, off 11) 
 "sill" 3 (L 4483, off 39) (L 4827, off 12) (L 6090, off 20) 
 "silver" 3 (L 2205, off 58) (L 5457, off 46) (L 5926, off 0) 
 "situation" 3 (L 1087, off 17) (L 3342, off 62) (L 7974, off 0) 
 "slipped" 3 (L 1092, off 51) (L 2644, off 48) (L 6476, off 61) 
 "slunk" 3 (L 1510, off 45) (L 4943, off 35) (L 8557, off 38) 
 "sneered" 3 (L 1489, off 21) (L 3588, off 31) (L 8111, off 28) 
 "soldiers" 3 (L 5819, off 18) (L 5825, off 13) (L 5881, off 0) 
 "somehow" 3 (L 584, off 35) (L 716, off 14) (L 1288, off 6) 
 "sorts" 3 (L 713, off 42) (L 4314, off 34) (L 8166, off 11) 
 "source" 3 (L 643, off 48) (L 5579, off 41) (L 6047, off 50) 
 "spare" 3 (L 3663, off 0) (L 3673, off 51) (L 5441, off 65) 
 "special" 3 (L 6588, off 2) (L 6945, off 33) (L 8645, off 21) 
 "spelling" 3 (L 3661, off 60) (L 4764, off 53) (L 8922, off 51) 
 "spent" 3 (L 1226, off 7) (L 6939, off 11) (L 7308, off 21) 
 "spinal" 3 (L 1453, off 26) (L 2079, off 54) (L 6613, off 39) 
 "spirits" 3 (L 645, off 55) (L 2096, off 48) (L 2641, off 44) 
 "spoken" 3 (L 208, off 51) (L 5077, off 31) (L 5149, off 47) 
 "spread" 3 (L 2595, off 26) (L 7411, off 9) (L 9283, off 0) 
 "spring" 3 (L 472, off 20) (L 748, off 0) (L 5719, off 15) 
 "staff" 3 (L 2197, off 41) (L 8747, off 18) (L 9306, off 60) 
 "starting" 3 (L 505, off 28) (L 7599, off 41) (L 8318, off 10) 
 "steal" 3 (L 823, off 59) (L 2618, off 15) (L 4522, off 50) 
 "steer" 3 (L 8191, off 16) (L 8280, off 12) (L 8423, off 40) 
 "stoop" 3 (L 3558, off 31) (L 6340, off 6) (L 7720, off 20) 
 "stooped" 3 (L 500, off 5) (L 3296, off 34) (L 6352, off 16) 
 "stopping" 3 (L 1210, off 46) (L 6432, off 25) (L 7542, off 11) 
 "streams" 3 (L 4902, off 0) (L 6931, off 23) (L 7165, off 32) 
 "stretch" 3 (L 2536, off 20) (L 3953, off 20) (L 4429, off 62) 
 "strokes" 3 (L 8188, off 37) (L 8234, off 57) (L 8261, off 48) 
 "sturdy" 3 (L 227, off 0) (L 3618, off 8) (L 4463, off 26) 
 "succeeding" 3 (L 1132, off 8) (L 4671, off 56) (L 6186, off 0) 
 "successfully" 3 (L 230, off 29) (L 6159, off 30) (L 8630, off 50) 
 "suddenness" 3 (L 4430, off 17) (L 6426, off 60) (L 7480, off 26) 
 "suffering" 3 (L 1973, off 4) (L 2073, off 52) (L 8164, off 5) 
 "surrounded" 3 (L 2490, off 34) (L 6940, off 18) (L 7869, off 45) 
 "surrounding" 3 (L 248, off 0) (L 1617, off 48) (L 6908, off 36) 
 "tables" 3 (L 439, off 35) (L 713, off 22) (L 933, off 17) 
 "tackle" 3 (L 2790, off 42) (L 3577, off 62) (L 4554, off 21) 
 "teachers" 3 (L 3601, off 8) (L 3608, off 30) (L 3622, off 28) 
 "telephoned" 3 (L 1215, off 26) (L 4657, off 34) (L 5721, off 49) 
 "tenement" 3 (L 659, off 54) (L 4049, off 43) (L 4787, off 38) 
 "thoughtful" 3 (L 633, off 45) (L 1227, off 0) (L 6944, off 34) 
 "thoughts" 3 (L 3650, off 0) (L 5519, off 5) (L 6807, off 58) 
 "thrown" 3 (L 3600, off 56) (L 7067, off 0) (L 7910, off 56) 
 "thud" 3 (L 2625, off 31) (L 3143, off 17) (L 3169, off 44) 
 "thus" 3 (L 801, off 15) (L 3127, off 52) (L 4742, off 51) 
 "torrent" 3 (L 7151, off 0) (L 7167, off 51) (L 7902, off 58) 
 "touch" 3 (L 487, off 50) (L 3262, off 7) (L 7717, off 38) 
 "touched" 3 (L 3214, off 21) (L 5486, off 20) (L 6259, off 5) 
 "toy" 3 (L 5819, off 14) (L 5841, off 38) (L 5898, off 10) 
 "trained" 3 (L 2638, off 64) (L 6825, off 2) (L 6848, off 38) 
 "trial" 3 (L 1400, off 63) (L 2850, off 43) (L 2967, off 8) 
 "tripped" 3 (L 3573, off 37) (L 3578, off 16) (L 5204, off 53) 
 "turns" 3 (L 3687, off 45) (L 3738, off 6) (L 6804, off 40) 
 "ugly" 3 (L 3821, off 57) (L 4236, off 46) (L 8265, off 53) 
 "unconscious" 3 (L 3183, off 0) (L 4226, off 12) (L 4316, off 29) 
 "unnecessary" 3 (L 3015, off 31) (L 4679, off 5) (L 4840, off 13) 
 "unpleasant" 3 (L 246, off 4) (L 3541, off 32) (L 7600, off 41) 
 "upsetting" 3 (L 2241, off 6) (L 2392, off 26) (L 8285, off 7) 
 "upward" 3 (L 1332, off 12) (L 3207, off 56) (L 6423, off 39) 
 "user" 3 (L 9119, off 55) (L 9146, off 51) (L 9149, off 39) 
 "vast" 3 (L 7153, off 58) (L 7167, off 46) (L 7619, off 50) 
 "venture" 3 (L 903, off 24) (L 3228, off 4) (L 3700, off 57) 
 "vicinity" 3 (L 3930, off 46) (L 6195, off 10) (L 6569, off 29) 
 "voices" 3 (L 4368, off 60) (L 4827, off 57) (L 4847, off 56) 
 "volunteered" 3 (L 1086, off 34) (L 1100, off 24) (L 7535, off 19) 
 "wages" 3 (L 2056, off 56) (L 3475, off 3) (L 6564, off 13) 
 "warehouse" 3 (L 1014, off 0) (L 4896, off 42) (L 6212, off 0) 
 "warned" 3 (L 4388, off 35) (L 7331, off 64) (L 7350, off 8) 
 "wear" 3 (L 5968, off 46) (L 6923, off 53) (L 7029, off 54) 
 "web" 3 (L 9118, off 44) (L 9250, off 19) (L 9270, off 45) 
 "weren" 3 (L 1379, off 7) (L 2723, off 12) (L 7639, off 8) 
 "west" 3 (L 968, off 52) (L 2968, off 48) (L 7302, off 7) 
 "western" 3 (L 975, off 26) (L 3192, off 4) (L 7691, off 0) 
 "whereat" 3 (L 327, off 0) (L 1397, off 59) (L 5966, off 12) 
 "widest" 3 (L 3247, off 62) (L 9237, off 44) (L 9285, off 62) 
 "wife" 3 (L 226, off 17) (L 721, off 23) (L 2135, off 39) 
 "willing" 3 (L 831, off 54) (L 6070, off 16) (L 7998, off 5) 
 "wind" 3 (L 1609, off 14) (L 7056, off 42) (L 7321, off 10) 
 "wishes" 3 (L 96, off 20) (L 3509, off 38) (L 8773, off 34) 
 "woke" 3 (L 5101, off 59) (L 6138, off 51) (L 7478, off 5) 
 "wonderful" 3 (L 770, off 32) (L 3421, off 17) (L 7606, off 21) 
 "workmen" 3 (L 3310, off 21) (L 3431, off 53) (L 3468, off 50) 
 "worn" 3 (L 2764, off 12) (L 4285, off 31) (L 4754, off 67) 
 "worst" 3 (L 1308, off 13) (L 4569, off 25) (L 8615, off 5) 
 "wreckage" 3 (L 8222, off 25) (L 8963, off 23) (L 8964, off 23) 
 "yank" 3 (L 1601, off 29) (L 2209, off 26) (L 8274, off 20) 
 "yelled" 3 (L 3553, off 9) (L 3558, off 65) (L 8454, off 31) 
 "ARTHUR" 4 (L 8785, off 3) (L 8862, off 3) (L 8967, off 9) (L 8968, off 9) 
 "Another" 4 (L 1615, off 8) (L 2097, off 47) (L 3838, off 58) (L 8242, off 31) 
 "Aren" 4 (L 3656, off 1) (L 3868, off 1) (L 8309, off 1) (L 8694, off 34) 
 "BAD" 4 (L 111, off 12) (L 153, off 12) (L 415, off 0) (L 5278, off 0) 
 "BIG" 4 (L 157, off 14) (L 179, off 27) (L 5750, off 2) (L 8372, off 15) 
 "BOY" 4 (L 20, off 54) (L 42, off 16) (L 186, off 12) (L 8976, off 52) 
 "Bronx" 4 (L 2004, off 26) (L 2015, off 49) (L 4016, off 52) (L 8770, off 29) 
 "Dexters" 4 (L 802, off 10) (L 4668, off 60) (L 6557, off 12) (L 6570, off 0) 
 "During" 4 (L 1310, off 0) (L 2086, off 0) (L 4027, off 46) (L 7257, off 0) 
 "ENEMY" 4 (L 119, off 27) (L 127, off 28) (L 1416, off 15) (L 2318, off 16) 
 "FLOOD" 4 (L 167, off 16) (L 171, off 16) (L 6979, off 4) (L 7439, off 4) 
 "FROM" 4 (L 20, off 42) (L 42, off 4) (L 186, off 0) (L 8976, off 40) 
 "Gee" 4 (L 1082, off 1) (L 3084, off 66) (L 7668, off 1) (L 8729, off 1) 
 "Give" 4 (L 216, off 57) (L 2387, off 63) (L 2608, off 1) (L 4232, off 66) 
 "Harvey" 4 (L 1100, off 8) (L 7634, off 8) (L 8411, off 7) (L 8415, off 29) 
 "Illustration" 4 (L 36, off 2) (L 2250, off 2) (L 6373, off 2) (L 8463, off 2) 
 "Into" 4 (L 2321, off 0) (L 3621, off 49) (L 4636, off 51) (L 8669, off 17) 
 "Morrison" 4 (L 352, off 36) (L 354, off 0) (L 379, off 58) (L 390, off 18) 
