 "'AS-IS'"
 "shady"(L 4912, off 7) 
 "shake"(L 6341, off 34) 
 "shake-up"(L 7623, off 55) 
 "shaken"(L 7949, off 31) 
 "shame"(L 5762, off 15) 
 "shapes"(L 4149, off 52) 
 "shaping"(L 4008, off 32) 
 "shared"(L 9952, off 7) 
 "sharing"(L 9684, off 42) 
 "shattered"(L 5283, off 9) 
 "shave"(L 6237, off 50) 
 "shed"(L 8487, off 0) 
 "shelf"(L 7092, off 62) 
 "shelter"(L 3149, off 28) 
 "sheriff"(L 465, off 25) 
 "shinks"(L 8412, off 10) 
 "shiny-buttoned"(L 6441, off 27) 
 "shipment"(L 2510, off 0) 
 "shipped"(L 541, off 62) 
 "shirts"(L 4837, off 20) 
 "shivered"(L 916, off 53) 
 "shooting"(L 5650, off 35) 
 "shop"(L 5191, off 39) 
 "shortest"(L 326, off 25) 
 "shoulder-high"(L 2915, off 15) 
 "shouldn"(L 2864, off 48) 
 "shouts"(L 7834, off 47) 
 "shower"(L 8771, off 45) 
 "shrewd"(L 4626, off 28) 
 "shrink"(L 8688, off 16) 
 "shrugged"(L 8876, off 58) 
 "shying"(L 293, off 52) 
 "shyster"(L 6134, off 0) 
 "sideways"(L 354, off 27) 
 "sighted"(L 690, off 54) 
 "signals"(L 8060, off 40) 
 "significant"(L 840, off 53) 
 "signified"(L 4618, off 42) 
 "signs"(L 7576, off 0) 
 "silk"(L 7187, off 65) 
 "sill"(L 5656, off 45) 
 "similar"(L 7814, off 37) 
 "simmered"(L 2021, off 60) 
 "simmering"(L 1554, off 30) 
 "simp"(L 2643, off 58) 
 "simple"(L 887, off 9) 
 "simplest-hearted"(L 6452, off 43) 
 "simplicity"(L 6493, off 0) 
 "single--the"(L 8014, off 48) 
 "sipping"(L 7137, off 58) 
 "sittin"(L 4372, off 8) 
 "situated"(L 4074, off 37) 
 "situations"(L 8946, off 14) 
 "sized"(L 6359, off 7) 
 "sizzler"(L 7728, off 39) 
 "sizzlers"(L 7720, off 14) 
 "skinch"(L 8379, off 0) 
 "skinned"(L 8381, off 12) 
 "skip"(L 4521, off 49) 
 "sky"(L 2678, off 22) 
 "slacked"(L 8447, off 42) 
 "slapping"(L 2743, off 38) 
 "slathers"(L 603, off 5) 
 "slaughter"(L 5736, off 35) 
 "sledge"(L 4183, off 14) 
 "sleepin"(L 6832, off 7) 
 "sleeping"(L 4565, off 41) 
 "slewed"(L 5650, off 12) 
 "slickest"(L 4420, off 13) 
 "sliding"(L 3029, off 55) 
 "slightest"(L 5443, off 12) 
 "slightly--that"(L 4186, off 18) 
 "slink"(L 4355, off 8) 
 "slinking"(L 8618, off 62) 
 "slippers"(L 7076, off 34) 
 "slippery"(L 8158, off 4) 
 "slope"(L 4549, off 49) 
 "slugger"(L 7966, off 19) 
 "slugging"(L 2986, off 0) 
 "slumber"(L 8707, off 22) 
 "slumped"(L 5610, off 0) 
 "slurs"(L 417, off 21) 
 "slush"(L 1463, off 56) 
 "sly"(L 6459, off 18) 
 "slyly"(L 4098, off 57) 
 "smack"(L 870, off 5) 
 "smacked"(L 4304, off 18) 
 "smart-alec"(L 834, off 52) 
 "smarting"(L 4207, off 52) 
 "smashed-up"(L 5995, off 21) 
 "smell"(L 4326, off 0) 
 "smelled"(L 7233, off 7) 
 "smells"(L 8316, off 8) 
 "smitten"(L 7557, off 4) 
 "smoked"(L 2705, off 12) 
 "smoking-hot"(L 2787, off 37) 
 "smote"(L 7574, off 53) 
 "smother"(L 2113, off 42) 
 "smothered"(L 3019, off 30) 
 "snapping"(L 1107, off 40) 
 "snarl"(L 764, off 16) 
 "sneak"(L 6671, off 3) 
 "sneer"(L 2658, off 49) 
 "sneeringly"(L 402, off 46) 
 "sneeze"(L 3445, off 17) 
 "snore"(L 6868, off 55) 
 "snorted"(L 1030, off 12) 
 "snowed"(L 8920, off 23) 
 "so-called"(L 3176, off 39) 
 "soak"(L 2839, off 9) 
 "soaked"(L 341, off 30) 
 "soar"(L 2843, off 9) 
 "soared"(L 2814, off 38) 
 "soil"(L 341, off 37) 
 "solar"(L 4219, off 16) 
 "solicitation"(L 9935, off 17) 
 "solicitude"(L 7198, off 0) 
 "solitary"(L 4615, off 60) 
 "solve"(L 8170, off 64) 
 "somber"(L 8125, off 17) 
 "somehow"(L 3980, off 43) 
 "sometimes"(L 3732, off 0) 
 "soothed"(L 2616, off 35) 
 "sorrel"(L 4849, off 35) 
 "sort--I"(L 3663, off 5) 
 "sorts"(L 8947, off 4) 
 "sounded"(L 7152, off 39) 
 "sounding"(L 8377, off 41) 
 "sounds"(L 5655, off 8) 
 "soused"(L 8707, off 60) 
 "sox"(L 8498, off 46) 
 "spare"(L 371, off 34) 
 "sparks"(L 6531, off 12) 
 "spasms"(L 1369, off 15) 
 "speaker"(L 3221, off 18) 
 "special"(L 8904, off 56) 
 "specialist"(L 8944, off 10) 
 "specific"(L 9629, off 0) 
 "spectacular"(L 8742, off 27) 
 "speeding"(L 5902, off 46) 
 "spelling"(L 9598, off 14) 
 "spend"(L 622, off 51) 
 "spending"(L 270, off 39) 
 "spike"(L 3084, off 3) 
 "spiking"(L 3095, off 22) 
 "spill"(L 888, off 47) 
 "spilling"(L 747, off 19) 
 "spirit"(L 9383, off 19) 
 "spirits"(L 6602, off 0) 
 "splendor"(L 6492, off 22) 
 "spluttered"(L 1462, off 44) 
 "spluttering"(L 5305, off 19) 
 "spoken--the"(L 902, off 38) 
 "sporting"(L 6291, off 53) 
 "sportsmen"(L 5833, off 16) 
 "sporty"(L 729, off 30) 
 "spout"(L 525, off 25) 
 "sprained"(L 1700, off 61) 
 "sprawled"(L 4606, off 3) 
 "sprinting"(L 3000, off 21) 
 "spurs"(L 4019, off 25) 
 "spying"(L 4313, off 23) 
 "squander"(L 6394, off 34) 
 "squeal"(L 665, off 10) 
 "squirm"(L 6795, off 0) 
 "squirming"(L 5281, off 43) 
 "stage"(L 1312, off 15) 
 "stairs"(L 4360, off 57) 
 "stakeholder"(L 2377, off 58) 
 "stalked"(L 2772, off 56) 
 "stammered"(L 6477, off 28) 
 "stanchest"(L 3285, off 33) 
 "stare"(L 4706, off 26) 
 "stars"(L 3422, off 0) 
 "starting"(L 5071, off 8) 
 "startling"(L 2760, off 57) 
 "startlingly"(L 4322, off 31) 
 "starts"(L 2613, off 36) 
 "state's"(L 9898, off 27) 
 "statements"(L 9940, off 4) 
 "staunch"(L 5112, off 45) 
 "stayed"(L 3723, off 36) 
 "steadied"(L 5913, off 39) 
 "stealing"(L 8842, off 44) 
 "stealthy"(L 7484, off 24) 
 "steed"(L 298, off 21) 
 "stepping"(L 362, off 30) 
 "sterling"(L 594, off 0) 
 "stertorously"(L 8632, off 49) 
 "sticking"(L 759, off 35) 
 "stickler"(L 7406, off 33) 
 "stiffest"(L 2113, off 54) 
 "stiffly"(L 1582, off 41) 
 "stifled"(L 5292, off 57) 
 "stir"(L 1444, off 56) 
 "stogies"(L 2580, off 10) 
 "stomach"(L 4218, off 40) 
 "stones"(L 3458, off 49) 
 "stoop"(L 8765, off 30) 
 "stoop-shouldered"(L 371, off 41) 
 "stooped"(L 3057, off 25) 
 "stored"(L 9809, off 54) 
 "stormed"(L 1103, off 37) 
 "stoutly"(L 1290, off 55) 
 "stow"(L 1899, off 6) 
 "stowed"(L 1978, off 31) 
 "stowing"(L 6880, off 20) 
 "streaked"(L 5800, off 49) 
 "streaking"(L 4226, off 30) 
 "stream"(L 3103, off 43) 
 "streamed"(L 2441, off 31) 
 "streaming"(L 3091, off 0) 
 "strengthened"(L 6901, off 13) 
 "stretched"(L 1073, off 5) 
 "stretching"(L 1028, off 31) 
 "striding"(L 5595, off 0) 
 "stripped"(L 4892, off 36) 
 "stroke"(L 3002, off 0) 
 "strokes"(L 1296, off 0) 
 "stroking"(L 357, off 34) 
 "strolled"(L 1226, off 0) 
 "strongly"(L 1348, off 46) 
 "struck--and"(L 5930, off 6) 
 "struggle"(L 5960, off 50) 
 "stubbornly"(L 1751, off 9) 
 "stubs"(L 4327, off 0) 
 "stuffing"(L 6141, off 24) 
 "stumbling"(L 722, off 30) 
 "sturdy"(L 657, off 0) 
 "style"(L 7383, off 0) 
 "subscribe"(L 9968, off 0) 
 "succeeded"(L 3734, off 0) 
 "succeeding"(L 5841, off 0) 
 "successfully"(L 6292, off 38) 
 "suck"(L 7231, off 32) 
 "sucked"(L 341, off 42) 
 "suddenness"(L 8357, off 5) 
 "suffered"(L 366, off 35) 
 "sufficient"(L 2231, off 21) 
 "suggest"(L 1953, off 54) 
 "suggestion"(L 5285, off 43) 
 "suits"(L 1671, off 6) 
 "summoned"(L 7550, off 22) 
 "sums"(L 1572, off 44) 
 "sunken"(L 345, off 0) 
 "sunrise"(L 4850, off 64) 
 "superb"(L 3048, off 51) 
 "supporters"(L 3285, off 43) 
 "supposed"(L 3541, off 6) 
 "suppositions"(L 7304, off 16) 
 "surest"(L 6294, off 13) 
 "surlily"(L 4039, off 20) 
 "surly"(L 5393, off 16) 
 "surrounding"(L 8648, off 59) 
 "surveillance"(L 7682, off 13) 
 "survive"(L 9917, off 45) 
 "suspect"(L 5140, off 19) 
 "suspicions"(L 5371, off 0) 
 "suttinly"(L 4819, off 41) 
 "swath"(L 6563, off 16) 
 "sweat"(L 4479, off 30) 
 "sweatband"(L 4253, off 0) 
 "sweetness"(L 4563, off 16) 
 "swel-l-l"(L 1047, off 11) 
 "swel-l-led"(L 1026, off 0) 
 "swell"(L 6464, off 24) 
 "swellest"(L 6440, off 36) 
 "swerve"(L 353, off 36) 
 "swerved"(L 6314, off 32) 
 "swimmer"(L 1021, off 42) 
 "swing"(L 8308, off 17) 
 "switch"(L 2782, off 22) 
 "sympathetically"(L 530, off 17) 
 "sympathize"(L 1941, off 5) 
 "sympathy"(L 1277, off 11) 
 "symptom"(L 2506, off 13) 
 "synonymous"(L 9871, off 24) 
 "tabs"(L 3806, off 15) 
 "tackled"(L 2113, off 9) 
 "tag"(L 8449, off 0) 
 "tainly"(L 6801, off 27) 
 "take----"
 "takers"(L 7686, off 35) 
 "tales"(L 1895, off 13) 
 "talked"(L 4118, off 34) 
 "tangle"(L 5265, off 23) 
 "tantalizingly"(L 7980, off 33) 
 "tapping"(L 8713, off 48) 
 "tar"(L 5963, off 35) 
 "tartar"(L 7719, off 24) 
 "tattered"(L 1714, off 40) 
 "tattoo"(L 4208, off 56) 
 "taunt"(L 1610, off 61) 
 "taxes"(L 9769, off 47) 
 "team--it"(L 3449, off 28) 
 "teammates"(L 3490, off 41) 
 "tearfully"(L 8733, off 19) 
 "tease"(L 5898, off 36) 
 "teasing"(L 2316, off 48) 
 "technical"(L 7392, off 42) 
 "technically"(L 7965, off 26) 
 "teeth"(L 2594, off 21) 
 "telegram----"
 "telephoning"(L 7585, off 45) 
 "tellin"(L 4951, off 27) 
 "telling"(L 672, off 39) 
 "tellygram"(L 4652, off 57) 
 "temporarily"(L 2032, off 19) 
 "tempted"(L 7397, off 10) 
 "ten-foot"(L 2850, off 48) 
 "tenderly"(L 6330, off 24) 
 "terrible"(L 7413, off 0) 
 "terrifically"(L 8202, off 42) 
 "terror"(L 8501, off 19) 
 "testing"(L 8888, off 40) 
 "texts"(L 9719, off 13) 
 "thanked"(L 932, off 51) 
 "thankful"(L 1117, off 54) 
 "that----"
 "that--ah--intelligence"(L 7390, off 28) 
 "that--ah--no"(L 7436, off 0) 
 "thatch"(L 2808, off 12) 
 "the--ah--difficulty"(L 7471, off 14) 
 "the--ah--important"(L 7514, off 18) 
 "the--ah--individual"(L 8628, off 32) 
 "the--ah--prisoner"(L 8730, off 19) 
 "the--ah--statement"(L 7391, off 16) 
 "there--see"(L 7724, off 0) 
 "thick"(L 7329, off 12) 
 "thieves"(L 7468, off 22) 
 "thing--trouble"(L 7114, off 33) 
 "think--he"(L 5433, off 23) 
 "thinkin"(L 3806, off 38) 
 "third-base"(L 2993, off 14) 
 "thirteen"(L 5010, off 31) 
 "though--all"(L 1658, off 0) 
 "threateningly"(L 801, off 15) 
 "three-bagger"(L 2866, off 0) 
 "thrills"(L 57, off 34) 
 "throughout"(L 9902, off 39) 
 "thrummed"(L 1692, off 36) 
 "thumb"(L 4695, off 51) 
 "thundered"(L 5926, off 13) 
 "thunderstruck"(L 3120, off 31) 
 "thus"(L 7535, off 38) 
 "thus--ah--exonerated"(L 8736, off 43) 
 "tide"(L 5843, off 47) 
 "til-l-l----"
 "timid"(L 6498, off 61) 
 "tinctured"(L 7627, off 0) 
 "tip"(L 3019, off 10) 
 "tips"(L 8474, off 11) 
 "tiptoe"(L 6865, off 3) 
 "tired-looking"(L 5215, off 57) 
 "tires"(L 5180, off 20) 
 "titles"(L 9576, off 32) 
 "to--I"(L 8812, off 18) 
 "to--ah--mention"(L 7500, off 9) 
 "toadied"(L 7039, off 16) 
 "toadies"(L 2654, off 13) 
 "toadying"(L 7041, off 17) 
 "tobacco"(L 7999, off 28) 
 "togedder"(L 3523, off 46) 
 "token"(L 5179, off 39) 
 "tokens"(L 2038, off 8) 
 "tolerable"(L 5404, off 44) 
 "toothsome"(L 5148, off 18) 
 "topped"(L 5181, off 44) 
 "topple"(L 6178, off 12) 
 "toppled"(L 5672, off 53) 
 "topside"(L 6893, off 43) 
 "tormentor"(L 716, off 26) 
 "torn"(L 5959, off 19) 
 "toss"(L 760, off 52) 
 "tosser"(L 3320, off 29) 
 "tow-headed"(L 804, off 31) 
 "towels"(L 985, off 36) 
 "townfolks"(L 1264, off 26) 
 "towns"(L 7612, off 46) 
 "townsfolk"(L 2461, off 7) 
 "traces"(L 3362, off 32) 
 "tracing"(L 5135, off 48) 
 "tracks"(L 5180, off 5) 
 "traffic"(L 4743, off 26) 
 "trailing"(L 8733, off 0) 
 "transact"(L 6587, off 39) 
 "transcribe"(L 9806, off 46) 
 "transcription"(L 9811, off 17) 
 "translation"(L 248, off 41) 
 "trap"(L 3205, off 0) 
 "travel"(L 7957, off 53) 
 "treated"(L 6698, off 58) 
 "tree-bordered"(L 5228, off 26) 
 "trembled"(L 6990, off 8) 
 "trembling"(L 356, off 36) 
 "trend"(L 3645, off 59) 
 "trial"(L 3033, off 31) 
 "tricks"(L 8893, off 59) 
 "tricky"(L 653, off 60) 
 "triple"(L 5878, off 24) 
 "triumphal"(L 2003, off 7) 
 "triumphed"(L 3197, off 42) 
 "trot"(L 6157, off 5) 
 "tug"(L 6210, off 13) 
 "tumbled"(L 5657, off 38) 
 "tumbling"(L 5301, off 59) 
 "tumult"(L 7552, off 64) 
 "turns"(L 5462, off 53) 
 "twenty-four"(L 8886, off 0) 
 "twirling"(L 832, off 50) 
 "two-bagger"(L 1719, off 39) 
 "txt"(L 9610, off 40) 
 "types"(L 9849, off 53) 
 "typewritten"(L 4671, off 9) 
 "typographical"(L 9599, off 46) 
 "ugly"(L 1428, off 33) 
 "unanimous"(L 1771, off 30) 
 "unanimously"(L 6018, off 21) 
 "unbounded"(L 2005, off 12) 
 "uncared"(L 1823, off 10) 
 "uncase"(L 6492, off 11) 
 "uncertain"(L 3851, off 36) 
 "unconcealed"(L 5365, off 37) 
 "uncouth"(L 3766, off 37) 
 "uncurled"(L 5932, off 38) 
 "undeniably"(L 6659, off 23) 
 "undernote"(L 7236, off 35) 
 "underscores"(L 36, off 17) 
 "undershot"(L 1463, off 4) 
 "undertaken"(L 1562, off 7) 
 "undertaking"(L 658, off 28) 
 "undo"(L 319, off 18) 
 "undoubted"(L 3083, off 55) 
 "undoubtedly"(L 8725, off 5) 
 "undrained"(L 286, off 50) 
 "undressed"(L 6879, off 55) 
 "undue"(L 4640, off 28) 
 "uneasiness"(L 5143, off 22) 
 "unenforceability"(L 9854, off 0) 
 "unexpectedly"(L 5144, off 26) 
 "unexplained"(L 5813, off 42) 
 "unfailing"(L 53, off 11) 
 "unfair"(L 2891, off 6) 
 "unfilled"(L 2510, off 39) 
 "unheard"(L 8352, off 0) 
 "unheeded"(L 8130, off 54) 
 "unheralded"(L 8432, off 20) 
 "unhesitatingly"(L 8954, off 35) 
 "unholy"(L 4419, off 51) 
 "unhurt"(L 889, off 22) 
 "uniformed"(L 5817, off 60) 
 "uniformly"(L 8943, off 30) 
 "uninjured"(L 361, off 43) 
 "unintentionally"(L 7400, off 7) 
 "union"(L 4167, off 33) 
 "unlike"(L 903, off 56) 
 "unlimited"(L 6454, off 30) 
 "unlink"(L 9737, off 14) 
 "unloaded"(L 5604, off 7) 
 "unlocked"(L 6877, off 7) 
 "unmercifully"(L 4037, off 17) 
 "unmistakable"(L 1469, off 49) 
 "unpleasant"(L 1650, off 20) 
 "unprotected"(L 9678, off 33) 
 "unscrupulous"(L 6221, off 0) 
 "unscrupulousness"(L 589, off 0) 
 "unseen"(L 8905, off 22) 
 "unselfish"(L 3586, off 35) 
 "unsettled"(L 2688, off 12) 
 "unsolicited"(L 9936, off 18) 
 "unsuspecting"(L 5253, off 27) 
 "untangled"(L 7048, off 43) 
 "untried"(L 2409, off 58) 
 "unvarnished"(L 7395, off 24) 
 "unwholesome"(L 6220, off 26) 
 "unwilling"(L 1042, off 60) 
 "unwillingly"(L 3834, off 18) 
 "uplifted"(L 7482, off 22) 
 "uppers"(L 6443, off 6) 
 "upright"(L 5281, off 53) 
 "uproar"(L 5888, off 11) 
 "upturned"(L 4596, off 59) 
 "upward"(L 8328, off 24) 
 "use--I"(L 4544, off 4) 
 "utter"(L 5559, off 25) 
 "uttering"(L 358, off 10) 
 "vait"(L 7869, off 63) 
 "value"(L 9378, off 13) 
 "vanity"(L 2055, off 48) 
 "variety"(L 9872, off 51) 
 "various"(L 9611, off 33) 
 "vault"(L 6628, off 34) 
 "vay"(L 5985, off 33) 
 "vehement"(L 1073, off 63) 
 "ven"(L 5772, off 8) 
 "vengefully"(L 4340, off 47) 
 "vent"(L 265, off 18) 
 "vhen"(L 8402, off 42) 
 "vhere"(L 8119, off 61) 
 "via"(L 1790, off 24) 
 "vibrant"(L 1088, off 18) 
 "victim"(L 6725, off 33) 
 "victimized"(L 2322, off 36) 
 "victorious"(L 3172, off 35) 
 "victory"(L 934, off 22) 
 "viewing"(L 9759, off 42) 
 "viewpoint"(L 7006, off 28) 
 "vigor"(L 4567, off 42) 
 "vile-smelling"(L 6398, off 19) 
 "vill"(L 8133, off 38) 
 "villain"(L 568, off 18) 
 "villainy"(L 3197, off 22) 
 "vim"(L 2112, off 41) 
 "vind"(L 3512, off 21) 
 "vindicated"(L 7825, off 0) 
 "vindication"(L 7587, off 0) 
 "vindictive"(L 6374, off 20) 
 "vindictiveness"(L 6314, off 56) 
 "violates"(L 9851, off 0) 
 "violence"(L 8364, off 53) 
 "viped"(L 5772, off 48) 
 "virtually"(L 6919, off 39) 
 "virtuous"(L 6773, off 28) 
 "virus"(L 9813, off 25) 
 "vish"(L 5784, off 51) 
 "visiting"(L 717, off 13) 
 "visitor"(L 2299, off 39) 
 "void"(L 9854, off 62) 
 "volunteer"(L 9954, off 0) 
 "vor"(L 8133, off 63) 
 "vot"(L 3508, off 33) 
 "voted"(L 1773, off 22) 
 "votes"(L 6017, off 9) 
 "vouched"(L 7817, off 47) 
 "vowed"(L 559, off 60) 
 "wade"(L 7445, off 47) 
 "wager"(L 4602, off 6) 
 "wagered"(L 3205, off 10) 
 "wagon"(L 5585, off 48) 
 "waist"(L 8116, off 22) 
 "waist-high"(L 2718, off 37) 
 "waistcoat"(L 6219, off 0) 
 "waitresses"(L 4810, off 48) 
 "waked"(L 4712, off 13) 
 "wakened"(L 4940, off 40) 
 "waking"(L 2973, off 0) 
 "walks"(L 9875, off 19) 
 "walloped"(L 8228, off 4) 
 "walls"(L 4167, off 52) 
 "warmed"(L 8078, off 62) 
 "warmers-up"(L 2749, off 23) 
 "warmin"(L 2641, off 33) 
 "warming"(L 7823, off 44) 
 "warned"(L 6568, off 53) 
 "warning--so"(L 6570, off 20) 
 "warnings"(L 397, off 0) 
 "warrant"(L 2231, off 32) 
 "warranties"(L 9849, off 0) 
 "wary"(L 4048, off 39) 
 "washbowl"(L 4321, off 60) 
 "washer"(L 4747, off 16) 
 "waste"(L 5352, off 35) 
 "wasted"(L 2900, off 45) 
 "wave"(L 3966, off 5) 
 "wavered"(L 1613, off 6) 
 "way----"
 "way--I"(L 2354, off 61) 
 "weapon"(L 5551, off 19) 
 "weapons"(L 3177, off 47) 
 "wearily"(L 4422, off 32) 
 "wearing"(L 729, off 20) 
 "weary"(L 4606, off 42) 
 "weighing"(L 7599, off 10) 
 "weight"(L 5292, off 14) 
 "weights"(L 3259, off 59) 
 "weird"(L 6180, off 14) 
 "welcome"(L 1802, off 31) 
 "well-known"(L 628, off 45) 
 "well-set-up"(L 2204, off 9) 
 "welled"(L 3703, off 23) 
 "welling"(L 3709, off 6) 
 "welsher"(L 2614, off 19) 
 "wended"(L 1580, off 16) 
 "weren"(L 1741, off 4) 
 "wheah"(L 6695, off 40) 
 "wheedlingly"(L 1601, off 44) 
 "when--ah"(L 8704, off 28) 
 "whence"(L 2946, off 21) 
 "whenever"(L 9705, off 12) 
 "whereabouts"(L 2333, off 0) 
 "which--ah--clung"(L 8737, off 20) 
 "whil-le"(L 1044, off 43) 
 "while--this"(L 4343, off 57) 
 "whimpered"(L 5362, off 41) 
 "whimsical"(L 4739, off 11) 
 "whipping"(L 1300, off 55) 
 "whippoorwills"(L 4799, off 9) 
 "whiskers"(L 5565, off 11) 
 "whistle"(L 4499, off 24) 
 "whistling"(L 4536, off 34) 
 "white-lipped"(L 5475, off 52) 
 "whizzed"(L 5545, off 33) 
 "whoever"(L 4442, off 8) 
 "whooped"(L 7932, off 17) 
 "whoops"(L 7888, off 24) 
 "whoppin"(L 3914, off 46) 
 "wicked"(L 7877, off 28) 
 "widder"(L 2370, off 9) 
 "widely"(L 5916, off 39) 
 "widow"(L 2386, off 16) 
 "wife"(L 5212, off 64) 
 "wild-eyed"(L 5649, off 41) 
 "wilder"(L 5173, off 17) 
 "will--ah--be"(L 8725, off 17) 
 "willingness"(L 3469, off 0) 
 "wily"(L 4491, off 0) 
 "winced"(L 6303, off 15) 
 "wink"(L 5379, off 28) 
 "winked"(L 2250, off 3) 
 "winnings"(L 6414, off 32) 
 "wiping"(L 6667, off 30) 
 "wiring"(L 2897, off 35) 
 "wisdom"(L 2841, off 55) 
 "wisely"(L 7374, off 12) 
 "wish--I"(L 1960, off 60) 
 "wishers"(L 2039, off 34) 
 "wishes"(L 1943, off 19) 
 "wisp"(L 4621, off 17) 
 "withdraw"(L 6634, off 0) 
 "withdrawal"(L 502, off 28) 
 "witness"(L 7681, off 7) 
 "woeful"(L 8619, off 25) 
 "wonderfully"(L 7133, off 10) 
 "wonderingly"(L 8331, off 40) 
 "wonderment"(L 4885, off 46) 
 "wonders"(L 6905, off 13) 
 "wondrous"(L 6507, off 0) 
 "work----"
 "worn"(L 5485, off 11) 
 "worry--yet"(L 591, off 37) 
 "worshiping"(L 6468, off 61) 
 "worthless"(L 6415, off 39) 
 "worthy"(L 3203, off 45) 
 "wrapped"(L 1949, off 34) 
 "wrathful"(L 1173, off 42) 
 "wreck"(L 592, off 60) 
 "wriggled"(L 3220, off 62) 
 "wringing"(L 1860, off 25) 
 "wrinkled"(L 8078, off 43) 
 "wrist"(L 883, off 46) 
 "write"(L 1065, off 12) 
 "wrongdoings"(L 7175, off 4) 
 "wrongly"(L 6945, off 0) 
 "wrung"(L 8850, off 22) 
 "yah"(L 5772, off 27) 
 "yapper"(L 2324, off 19) 
 "yawn"(L 4597, off 54) 
 "yel-l-ler"(L 847, off 11) 
 "yellow-gray"(L 6210, off 53) 
 "yellow-purple"(L 4450, off 34) 
 "yellowbacks"(L 2213, off 0) 
 "yellowish"(L 4621, off 7) 
 "yielded"(L 7913, off 8) 
 "youths"(L 3739, off 43) 
 "yust"(L 3516, off 14) 
 "zip"(L 9610, off 55) 
 "zipped"(L 2320, off 9) 
 "zipping"(L 3002, off 28) 
 "--Among"(L 9074, off 6) (L 9503, off 5) 
 "--Andy"(L 9398, off 4) (L 9465, off 4) 
 "--Behind"(L 9136, off 6) (L 9181, off 6) 
 "--Bob"(L 9418, off 4) (L 9497, off 5) 
 "--Bound"(L 9427, off 4) (L 9481, off 5) 
 "--Brave"(L 9416, off 4) (L 9544, off 5) 
 "--Death"(L 9043, off 5) (L 9285, off 6) 
 "--Down"(L 9243, off 6) (L 9535, off 5) 
 "--Driven"(L 9145, off 6) (L 9395, off 4) 
 "--Fighting"(L 9014, off 5) (L 9548, off 5) 
 "--Found"(L 9017, off 5) (L 9078, off 6) 
 "--Joe"(L 9408, off 4) (L 9483, off 5) 
 "--Making"(L 9402, off 4) (L 9522, off 5) 
 "--One"(L 8978, off 5) (L 9214, off 6) 
 "--Out"(L 9282, off 6) (L 9292, off 6) 
 "--Striving"(L 9450, off 4) (L 9523, off 5) 
 "--Through"(L 9178, off 6) (L 9524, off 5) 
 "--To"(L 8965, off 5) (L 9479, off 5) 
 "--Trapped"(L 9222, off 6) (L 9230, off 6) 
 "--Try"(L 9403, off 4) (L 9539, off 5) 
 "--Two"(L 9038, off 5) (L 9138, off 6) 
 "--Under"(L 9179, off 6) (L 9265, off 6) 
 "--Winning"(L 9557, off 5) (L 9560, off 5) 
 "-all"
 "AGREE"(L 9822, off 10) (L 9824, off 33) 
 "AND"(L 4318, off 20) (L 9825, off 17) 
 "ASCII"(L 9751, off 26) (L 9756, off 8) 
 "According"(L 2635, off 39) (L 7472, off 28) 
 "Additional"(L 38, off 0) (L 9732, off 50) 
 "Adventure"(L 185, off 40) (L 9369, off 6) 
 "Air"(L 123, off 25) (L 9139, off 16) 
 "Alaska"(L 9479, off 10) (L 9900, off 51) 
 "Allan"(L 9553, off 36) (L 9556, off 36) 
 "Already"(L 4207, off 44) (L 4224, off 0) 
 "America"(L 173, off 31) (L 9575, off 3) 
 "Anyhow"(L 1665, off 12) (L 4950, off 38) 
 "Anything"(L 4650, off 26) (L 8909, off 1) 
 "Anyway"(L 4416, off 0) (L 4570, off 27) 
 "Aren"(L 2231, off 1) (L 6913, off 55) 
 "Arizona"(L 183, off 32) (L 1895, off 40) 
 "Arnica"(L 4366, off 17) (L 4368, off 1) 
 "Author"(L 13, off 0) (L 234, off 2) 
 "Avenue"(L 240, off 16) (L 9588, off 11) 
 "BEFORE"(L 6888, off 14) (L 9640, off 17) 
 "BOOKS"(L 42, off 0) (L 9365, off 0) 
 "BREACH"(L 9823, off 11) (L 9823, off 33) 
 "BURT"(L 46, off 7) (L 232, off 2) 
 "Bank"(L 2178, off 41) (L 9203, off 12) 
 "Baseball"(L 607, off 1) (L 6081, off 44) 
 "Bay"(L 9094, off 19) (L 9283, off 19) 
 "Besides"(L 4118, off 11) (L 5139, off 32) 
 "Best"(L 116, off 24) (L 3314, off 28) 
 "Blow"(L 9170, off 10) (L 9262, off 12) 
 "Bold"(L 9049, off 17) (L 9416, off 16) 
 "Brace"(L 1846, off 64) (L 9422, off 10) 
 "Broken"(L 9067, off 10) (L 9158, off 10) 
 "Brotherhood"(L 9053, off 20) (L 9102, off 12) 
 "CARTER"(L 8934, off 5) (L 8940, off 16) 
 "CHALLENGE"(L 1433, off 14) (L 6036, off 17) 
 "CHIP"(L 1689, off 13) (L 3480, off 29) 
 "CLIPPINGS"(L 2466, off 2) (L 2671, off 16) 
 "Cahson"(L 6695, off 28) (L 6702, off 63) 
 "Catch"(L 5821, off 64) (L 9236, off 29) 
 "Catching"(L 869, off 0) (L 5352, off 58) 
 "Certainly"(L 1623, off 1) (L 2220, off 1) 
 "Chain"(L 9092, off 12) (L 9111, off 12) 
 "Check"(L 9141, off 22) (L 9400, off 30) 
 "Cheer"(L 2724, off 0) (L 3974, off 1) 
 "Claws"(L 9144, off 12) (L 9179, off 26) 
